age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
55,unemployed,single,primary,no,5,yes,no,unknown,30,may,63,2,-1,0,unknown,no
56,technician,divorced,secondary,no,0,no,no,cellular,26,aug,471,8,-1,0,unknown,no
59,technician,divorced,secondary,no,797,yes,no,cellular,18,nov,319,2,165,2,failure,no
35,services,single,secondary,no,719,yes,no,cellular,18,may,1359,3,368,3,failure,yes
30,housemaid,married,primary,no,462,no,yes,cellular,30,jul,274,3,-1,0,unknown,no
59,blue-collar,married,primary,no,3540,no,no,cellular,8,jul,165,1,-1,0,unknown,no
31,blue-collar,married,primary,no,1654,yes,no,cellular,18,may,288,1,-1,0,unknown,no
33,technician,single,tertiary,no,1636,yes,no,cellular,27,feb,165,1,-1,0,unknown,yes
45,self-employed,married,secondary,no,706,no,no,cellular,30,apr,78,2,176,1,success,no
58,management,married,tertiary,no,889,no,no,cellular,11,aug,121,2,-1,0,unknown,no
39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no
45,technician,divorced,secondary,no,0,yes,no,unknown,27,may,165,2,-1,0,unknown,no
43,blue-collar,single,primary,no,548,yes,no,unknown,7,may,98,1,-1,0,unknown,no
44,services,married,secondary,no,237,yes,no,cellular,28,jan,212,2,-1,0,unknown,no
33,technician,married,tertiary,no,0,yes,no,cellular,8,may,206,1,-1,0,unknown,no
45,management,married,tertiary,no,7154,yes,no,cellular,31,jul,393,3,-1,0,unknown,no
58,retired,married,secondary,no,0,yes,no,unknown,26,may,77,1,-1,0,unknown,no
60,admin,married,secondary,no,7336,no,no,cellular,31,mar,494,1,-1,0,unknown,no
33,admin,married,secondary,no,393,yes,no,unknown,28,may,383,1,-1,0,unknown,no
47,admin,married,tertiary,no,2279,yes,yes,cellular,27,may,161,1,-1,0,unknown,no
34,technician,single,secondary,no,27,no,no,cellular,12,aug,256,9,-1,0,unknown,no
32,admin,single,secondary,no,781,no,no,cellular,20,nov,305,1,-1,0,unknown,no
32,management,divorced,tertiary,no,787,yes,no,cellular,11,aug,72,2,-1,0,unknown,no
48,services,married,secondary,no,260,no,no,cellular,12,aug,228,5,-1,0,unknown,no
35,services,married,tertiary,no,1359,no,no,unknown,17,jun,585,2,-1,0,unknown,no
34,management,single,tertiary,no,2015,no,no,unknown,21,may,388,1,-1,0,unknown,no
51,services,married,primary,no,10150,yes,no,cellular,26,aug,157,5,-1,0,unknown,no
44,services,married,secondary,no,5780,yes,no,cellular,1,apr,525,2,-1,0,unknown,no
58,management,divorced,tertiary,no,26254,yes,no,cellular,21,nov,53,1,31,1,failure,no
28,blue-collar,single,secondary,no,369,yes,no,unknown,23,may,411,3,-1,0,unknown,no
58,self-employed,married,secondary,no,372,no,no,unknown,17,jun,315,2,-1,0,unknown,no
30,technician,divorced,secondary,no,3100,yes,no,cellular,20,nov,125,1,183,4,failure,no
41,blue-collar,married,primary,no,1356,yes,no,cellular,13,may,50,2,-1,0,unknown,no
47,housemaid,married,tertiary,no,228,yes,no,cellular,22,jul,89,1,-1,0,unknown,no
60,admin,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,no
54,housemaid,divorced,tertiary,no,9,no,yes,cellular,29,jul,136,3,-1,0,unknown,no
30,self-employed,single,secondary,no,635,no,yes,cellular,14,jul,209,2,-1,0,unknown,no
43,entrepreneur,married,tertiary,no,13342,yes,no,cellular,18,nov,465,1,-1,0,unknown,no
28,admin,single,secondary,no,189,yes,no,cellular,31,jul,68,2,-1,0,unknown,no
30,management,single,tertiary,no,1191,no,no,cellular,11,aug,381,4,-1,0,unknown,no
36,technician,married,secondary,no,377,yes,yes,cellular,19,nov,135,1,-1,0,unknown,no
52,admin,married,primary,no,321,yes,no,unknown,30,may,141,4,-1,0,unknown,no
50,blue-collar,married,primary,no,280,yes,no,unknown,18,jun,61,23,-1,0,unknown,no
45,management,single,tertiary,no,207,no,no,cellular,21,nov,230,3,-1,0,unknown,no
42,management,single,tertiary,no,515,yes,no,cellular,19,nov,501,2,-1,0,unknown,no
60,technician,divorced,primary,no,-85,no,yes,telephone,8,jul,58,2,-1,0,unknown,no
46,blue-collar,married,primary,no,1844,no,no,unknown,19,jun,29,1,-1,0,unknown,no
44,self-employed,married,primary,no,614,no,no,cellular,12,aug,85,4,-1,0,unknown,no
37,admin,married,secondary,no,10465,no,no,unknown,17,jun,144,6,-1,0,unknown,no
47,services,married,secondary,no,1073,no,no,telephone,11,jul,518,3,-1,0,unknown,no
46,blue-collar,married,secondary,no,0,yes,no,unknown,26,may,208,2,-1,0,unknown,no
33,technician,single,secondary,no,341,no,yes,unknown,12,may,289,3,-1,0,unknown,no
25,blue-collar,single,secondary,no,-375,yes,no,cellular,14,jul,61,2,-1,0,unknown,no
51,blue-collar,divorced,primary,no,-19,yes,no,cellular,13,may,829,1,296,11,failure,yes
47,blue-collar,married,primary,no,117,yes,no,unknown,7,may,113,2,-1,0,unknown,no
42,unemployed,married,secondary,no,202,no,no,unknown,5,jun,257,1,-1,0,unknown,no
30,blue-collar,married,secondary,yes,-18,no,no,unknown,3,jun,157,2,-1,0,unknown,no
42,management,married,tertiary,no,0,yes,no,cellular,8,may,88,1,360,1,failure,no
40,unemployed,single,tertiary,no,7968,no,no,cellular,2,jun,596,1,-1,0,unknown,yes
58,retired,divorced,primary,no,47,yes,no,unknown,9,may,225,1,-1,0,unknown,no
25,student,single,tertiary,no,538,yes,no,cellular,20,apr,226,1,-1,0,unknown,no
55,management,married,tertiary,no,0,yes,no,unknown,14,may,159,2,-1,0,unknown,no
38,technician,married,secondary,no,1960,yes,no,cellular,21,aug,161,2,-1,0,unknown,no
32,blue-collar,single,secondary,no,1291,yes,no,cellular,7,may,223,1,293,1,failure,no
27,management,single,tertiary,no,390,no,no,cellular,28,oct,190,1,82,1,success,no
37,unemployed,single,primary,no,3777,no,no,cellular,5,feb,206,3,-1,0,unknown,no
49,admin,divorced,secondary,no,-203,yes,no,unknown,27,may,364,2,-1,0,unknown,no
41,management,married,tertiary,no,5,yes,no,cellular,7,apr,542,3,140,3,failure,no
55,management,divorced,tertiary,no,0,no,no,cellular,18,aug,309,4,-1,0,unknown,yes
31,technician,single,secondary,no,1,no,no,cellular,22,aug,107,2,-1,0,unknown,no
48,management,married,primary,no,0,yes,no,unknown,5,jun,107,1,-1,0,unknown,no
51,self-employed,married,secondary,no,1377,no,no,unknown,20,jun,9,2,-1,0,unknown,no
36,entrepreneur,married,secondary,no,313,yes,no,cellular,29,jan,167,2,198,1,failure,no
31,technician,single,secondary,no,118,no,no,cellular,2,feb,50,1,-1,0,unknown,no
37,entrepreneur,married,tertiary,no,7944,no,no,cellular,21,nov,102,1,-1,0,unknown,no
45,management,married,secondary,no,315,yes,no,cellular,4,aug,154,2,-1,0,unknown,no
41,unemployed,divorced,secondary,no,1281,no,no,cellular,31,jul,45,3,-1,0,unknown,no
28,student,single,tertiary,no,170,no,no,telephone,14,may,16,5,-1,0,unknown,no
64,retired,married,primary,no,445,no,no,cellular,26,oct,338,3,186,1,other,no
29,management,single,tertiary,no,630,no,no,cellular,11,aug,94,3,-1,0,unknown,no
43,admin,single,secondary,no,426,yes,no,cellular,11,may,76,2,304,2,failure,no
35,services,married,tertiary,no,0,yes,no,unknown,2,jun,312,2,-1,0,unknown,no
55,entrepreneur,married,secondary,no,113,yes,no,unknown,12,jun,186,1,-1,0,unknown,no
47,blue-collar,married,primary,no,-187,no,no,unknown,3,jul,652,1,-1,0,unknown,no
36,admin,married,secondary,no,-323,yes,no,cellular,29,jul,118,8,-1,0,unknown,no
40,blue-collar,married,primary,no,0,no,no,cellular,24,jul,313,1,-1,0,unknown,no
31,management,single,tertiary,no,453,yes,no,unknown,30,may,58,3,-1,0,unknown,no
44,management,married,tertiary,no,13893,no,no,unknown,11,jun,29,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,1056,1,-1,0,unknown,no
36,entrepreneur,married,tertiary,no,99,yes,yes,cellular,20,apr,393,3,-1,0,unknown,no
60,management,married,primary,no,130,no,no,cellular,28,jan,374,2,-1,0,unknown,no
45,housemaid,married,primary,no,106,no,no,cellular,4,aug,205,1,-1,0,unknown,no
33,management,married,secondary,no,-14,yes,no,cellular,20,apr,856,3,-1,0,unknown,no
51,retired,married,primary,no,670,yes,no,cellular,7,may,391,1,-1,0,unknown,no
51,technician,married,secondary,no,1113,no,yes,cellular,8,aug,391,4,-1,0,unknown,no
45,blue-collar,divorced,primary,no,102,yes,no,cellular,11,may,282,1,-1,0,unknown,no
36,management,single,tertiary,no,-74,yes,yes,cellular,8,jul,476,2,-1,0,unknown,no
35,management,single,tertiary,no,1045,yes,no,cellular,17,apr,204,5,-1,0,unknown,no
48,management,divorced,tertiary,no,1328,yes,no,unknown,6,may,339,1,-1,0,unknown,no
33,technician,single,secondary,no,3059,no,yes,cellular,6,aug,482,2,-1,0,unknown,yes
21,services,single,secondary,no,361,no,no,telephone,5,jun,329,1,95,1,other,no
32,services,married,secondary,no,580,yes,no,cellular,30,apr,69,1,-1,0,unknown,no
64,retired,married,secondary,no,4787,no,no,cellular,28,oct,501,1,-1,0,unknown,yes
46,management,divorced,tertiary,no,134,no,no,cellular,19,aug,134,2,-1,0,unknown,no
30,management,single,secondary,no,209,no,no,cellular,18,aug,243,9,-1,0,unknown,no
59,blue-collar,married,primary,no,3587,no,yes,unknown,5,jun,118,2,-1,0,unknown,no
41,entrepreneur,married,secondary,no,2480,yes,no,unknown,11,jun,394,2,-1,0,unknown,no
41,blue-collar,married,primary,no,208,yes,no,unknown,16,may,315,3,-1,0,unknown,no
28,admin,married,secondary,no,0,yes,yes,cellular,26,may,89,1,-1,0,unknown,no
31,management,married,tertiary,no,2652,no,no,cellular,25,aug,9,9,-1,0,unknown,no
31,unemployed,single,secondary,no,199,yes,no,unknown,16,may,86,1,-1,0,unknown,no
59,unemployed,married,secondary,no,1625,no,no,cellular,4,aug,198,1,180,2,success,yes
30,services,single,secondary,no,370,no,no,cellular,20,nov,142,1,-1,0,unknown,no
29,blue-collar,married,secondary,no,87,yes,no,unknown,6,jun,1330,3,-1,0,unknown,no
35,technician,married,secondary,no,46,no,no,cellular,8,aug,404,4,-1,0,unknown,no
55,management,married,secondary,no,0,yes,no,unknown,13,may,309,2,-1,0,unknown,no
31,technician,married,secondary,no,0,no,yes,cellular,15,jul,624,6,-1,0,unknown,no
61,housemaid,married,primary,no,211,no,no,cellular,31,aug,443,2,186,3,failure,yes
34,blue-collar,married,secondary,no,362,yes,no,cellular,15,may,151,1,-1,0,unknown,no
44,management,married,secondary,no,0,no,no,cellular,21,aug,167,2,-1,0,unknown,no
36,management,single,tertiary,no,202,no,no,cellular,13,aug,150,4,-1,0,unknown,no
56,housemaid,married,primary,no,871,no,no,telephone,25,jul,149,1,-1,0,unknown,no
60,services,married,secondary,no,8837,yes,no,unknown,16,may,144,4,-1,0,unknown,no
33,blue-collar,married,secondary,no,-10,yes,no,unknown,6,may,123,1,-1,0,unknown,no
47,technician,married,secondary,no,17206,yes,no,cellular,19,aug,125,4,-1,0,unknown,no
35,admin,married,secondary,no,430,yes,no,cellular,17,apr,611,1,270,4,failure,no
35,self-employed,married,tertiary,no,1340,no,yes,cellular,19,nov,169,1,-1,0,unknown,no
53,services,divorced,primary,no,146,yes,no,cellular,14,may,149,1,370,1,failure,no
33,blue-collar,divorced,primary,no,142,yes,no,telephone,11,may,41,2,300,5,failure,no
33,admin,married,secondary,no,796,yes,no,telephone,6,apr,216,1,-1,0,unknown,no
30,admin,married,tertiary,no,501,yes,yes,cellular,25,may,92,1,-1,0,unknown,no
29,services,single,secondary,no,-527,yes,yes,unknown,4,jun,250,1,-1,0,unknown,no
53,admin,married,secondary,no,1373,no,no,cellular,5,aug,78,2,-1,0,unknown,no
37,self-employed,single,primary,no,235,yes,no,cellular,17,apr,191,4,323,9,failure,no
48,services,single,primary,no,-139,no,no,cellular,13,may,75,2,-1,0,unknown,no
39,blue-collar,divorced,secondary,no,160,yes,no,unknown,30,may,151,2,-1,0,unknown,no
59,management,married,tertiary,no,2365,no,yes,telephone,25,jul,159,4,-1,0,unknown,no
39,blue-collar,married,secondary,no,0,yes,no,cellular,7,may,502,1,7,2,failure,no
45,blue-collar,married,primary,no,1265,yes,no,cellular,11,may,40,8,299,1,success,no
40,housemaid,married,secondary,no,1783,yes,yes,cellular,19,nov,130,1,-1,0,unknown,no
54,services,divorced,secondary,no,1012,yes,no,cellular,12,may,33,3,175,2,other,no
33,self-employed,single,tertiary,no,9670,no,no,cellular,20,nov,204,1,-1,0,unknown,no
45,technician,married,secondary,no,256,no,no,cellular,18,aug,119,7,-1,0,unknown,no
58,retired,married,secondary,no,0,no,no,cellular,19,aug,153,2,-1,0,unknown,no
33,technician,single,tertiary,no,27,no,no,cellular,19,aug,332,2,-1,0,unknown,no
32,management,single,tertiary,no,10281,no,no,cellular,22,apr,400,1,-1,0,unknown,yes
44,management,married,tertiary,no,612,yes,no,unknown,29,may,88,2,-1,0,unknown,no
27,admin,married,secondary,no,953,yes,no,unknown,26,may,340,2,-1,0,unknown,no
34,services,single,secondary,no,183,yes,no,cellular,14,may,259,4,-1,0,unknown,no
42,admin,single,secondary,no,470,yes,no,telephone,12,may,207,4,-1,0,unknown,no
35,services,married,primary,no,764,no,no,cellular,12,may,706,3,-1,0,unknown,no
35,technician,married,secondary,no,179,no,yes,cellular,20,aug,82,2,-1,0,unknown,no
31,management,married,tertiary,no,382,no,no,cellular,27,aug,43,19,-1,0,unknown,no
45,self-employed,married,tertiary,no,-497,yes,yes,cellular,15,may,217,1,176,1,failure,no
44,blue-collar,single,primary,no,-24,no,no,telephone,7,jul,564,1,-1,0,unknown,no
45,services,married,secondary,no,1550,yes,no,cellular,18,nov,143,2,166,6,failure,no
51,management,single,tertiary,no,2139,no,no,cellular,17,nov,176,2,-1,0,unknown,no
44,management,married,tertiary,no,7818,no,no,cellular,27,may,412,1,-1,0,unknown,yes
37,self-employed,married,tertiary,no,208,yes,no,cellular,31,jul,350,5,-1,0,unknown,no
59,retired,married,secondary,no,3414,no,no,telephone,30,jul,117,6,-1,0,unknown,no
61,retired,married,secondary,no,3340,no,no,cellular,30,jun,224,1,-1,0,unknown,no
28,admin,single,secondary,no,251,yes,no,unknown,6,may,178,2,-1,0,unknown,no
50,management,single,tertiary,no,592,no,no,cellular,8,aug,445,4,-1,0,unknown,no
44,blue-collar,divorced,primary,yes,-119,yes,no,unknown,2,jun,132,5,-1,0,unknown,no
36,blue-collar,single,secondary,no,3111,yes,no,unknown,20,may,445,2,-1,0,unknown,no
31,management,single,tertiary,no,2,no,no,cellular,8,aug,848,1,-1,0,unknown,yes
54,admin,single,secondary,no,15,yes,no,cellular,4,feb,93,1,-1,0,unknown,no
44,unemployed,married,secondary,no,0,yes,no,cellular,17,nov,58,1,195,2,failure,no
39,blue-collar,married,secondary,no,971,yes,yes,unknown,1,jul,471,3,-1,0,unknown,no
31,services,married,secondary,no,3181,yes,no,unknown,29,may,128,7,-1,0,unknown,no
57,retired,married,secondary,no,209,no,no,cellular,14,aug,56,4,-1,0,unknown,no
50,admin,married,secondary,no,1241,yes,yes,telephone,17,nov,49,2,-1,0,unknown,no
45,blue-collar,married,secondary,no,141,yes,yes,unknown,14,may,21,10,-1,0,unknown,no
38,self-employed,single,secondary,no,592,no,no,cellular,6,may,275,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,264,yes,no,telephone,31,jul,15,2,-1,0,unknown,no
33,technician,married,secondary,no,1166,no,no,cellular,11,aug,90,3,-1,0,unknown,no
32,management,single,tertiary,no,6248,yes,no,cellular,15,may,64,3,371,2,failure,no
40,housemaid,married,secondary,no,84,yes,yes,unknown,12,jun,230,7,-1,0,unknown,no
67,technician,married,secondary,no,0,no,no,cellular,13,aug,1152,2,188,1,success,no
35,technician,single,secondary,no,27,yes,no,cellular,25,may,214,1,305,1,other,yes
36,technician,married,secondary,no,191,no,no,cellular,31,aug,69,1,-1,0,unknown,no
38,management,single,tertiary,no,1373,no,no,cellular,22,oct,119,4,-1,0,unknown,no
48,technician,married,secondary,no,7373,yes,no,unknown,14,may,126,1,-1,0,unknown,no
33,blue-collar,single,secondary,no,2668,yes,no,cellular,18,jul,187,1,-1,0,unknown,no
40,blue-collar,divorced,primary,no,-78,no,yes,cellular,17,nov,330,2,-1,0,unknown,no
22,management,single,secondary,no,594,yes,no,unknown,13,may,154,1,-1,0,unknown,no
27,technician,single,secondary,no,8,yes,no,unknown,20,may,777,3,-1,0,unknown,no
20,student,single,secondary,no,1191,no,no,cellular,28,sep,500,2,228,1,failure,no
66,retired,married,primary,no,711,no,no,telephone,20,apr,137,5,-1,0,unknown,no
25,student,single,secondary,no,486,no,no,cellular,13,sep,273,3,199,4,failure,yes
54,housemaid,married,secondary,no,167,yes,no,unknown,20,may,547,7,-1,0,unknown,no
38,unemployed,single,secondary,no,7159,no,no,telephone,30,jul,285,2,-1,0,unknown,no
36,technician,married,secondary,no,569,yes,no,cellular,9,apr,265,1,323,5,failure,no
36,blue-collar,married,primary,no,1707,no,no,unknown,18,jun,190,2,-1,0,unknown,no
46,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,no
39,blue-collar,married,tertiary,no,200,yes,no,cellular,16,apr,166,1,-1,0,unknown,no
61,housemaid,married,primary,no,848,no,no,cellular,27,apr,605,1,187,1,other,no
37,management,married,tertiary,no,2951,no,no,cellular,21,nov,101,3,-1,0,unknown,no
55,technician,married,secondary,no,891,no,no,unknown,19,jun,268,1,-1,0,unknown,no
50,blue-collar,married,primary,no,1533,yes,no,unknown,5,may,325,2,-1,0,unknown,no
31,management,married,tertiary,no,325,yes,no,cellular,18,jul,1139,2,-1,0,unknown,yes
67,self-employed,married,tertiary,no,1979,no,no,cellular,10,sep,105,2,-1,0,unknown,no
49,blue-collar,married,secondary,no,0,no,no,cellular,29,aug,66,17,-1,0,unknown,no
55,management,married,tertiary,no,913,no,no,unknown,17,jun,462,5,-1,0,unknown,no
56,blue-collar,married,primary,no,246,yes,no,unknown,23,may,438,1,-1,0,unknown,no
58,housemaid,married,secondary,no,4840,no,no,unknown,11,jun,366,1,-1,0,unknown,no
53,blue-collar,married,secondary,no,3397,yes,no,unknown,6,may,231,1,-1,0,unknown,no
58,management,married,tertiary,no,0,yes,no,cellular,18,nov,265,1,188,1,failure,no
31,management,single,tertiary,no,6413,no,no,cellular,13,aug,517,2,-1,0,unknown,no
37,technician,married,secondary,no,83,yes,no,cellular,6,may,68,1,363,1,failure,no
44,blue-collar,married,primary,no,1704,yes,no,cellular,9,apr,312,2,-1,0,unknown,no
35,services,married,secondary,no,0,yes,no,cellular,18,may,146,2,-1,0,unknown,no
31,management,single,tertiary,no,1761,yes,no,telephone,29,jul,332,3,440,3,failure,yes
55,blue-collar,divorced,secondary,no,4053,no,no,unknown,6,jun,182,2,-1,0,unknown,no
42,admin,divorced,secondary,no,63,no,no,unknown,16,may,88,6,-1,0,unknown,no
27,admin,married,secondary,no,4,yes,no,unknown,6,may,243,1,-1,0,unknown,no
28,self-employed,single,tertiary,no,270,yes,no,cellular,7,may,49,2,345,2,failure,no
45,management,single,secondary,no,5993,no,no,cellular,2,jun,116,1,-1,0,unknown,no
27,self-employed,single,tertiary,no,-503,yes,no,unknown,9,may,98,3,-1,0,unknown,no
47,services,married,secondary,no,405,no,yes,cellular,8,aug,994,2,-1,0,unknown,yes
46,entrepreneur,married,tertiary,no,954,yes,yes,cellular,4,feb,532,2,-1,0,unknown,no
46,blue-collar,married,secondary,no,624,yes,no,cellular,16,apr,201,1,-1,0,unknown,no
44,technician,married,tertiary,no,1454,no,no,unknown,11,jun,156,2,-1,0,unknown,no
30,services,married,secondary,no,9531,no,no,cellular,21,nov,105,4,-1,0,unknown,no
31,blue-collar,single,secondary,no,823,no,no,unknown,26,may,174,3,-1,0,unknown,no
47,blue-collar,married,primary,no,206,yes,yes,cellular,7,may,118,1,-1,0,unknown,no
36,technician,single,secondary,no,210,no,no,cellular,2,feb,65,1,-1,0,unknown,no
37,admin,single,secondary,no,515,yes,no,cellular,20,apr,59,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,841,no,no,cellular,28,jul,504,4,-1,0,unknown,no
38,admin,divorced,secondary,no,0,no,no,unknown,5,jun,56,1,-1,0,unknown,no
57,technician,married,secondary,no,225,yes,no,telephone,15,may,22,7,337,12,failure,no
40,blue-collar,divorced,secondary,no,-426,no,yes,unknown,26,may,245,1,-1,0,unknown,no
37,management,single,tertiary,no,833,yes,no,cellular,14,may,212,1,-1,0,unknown,no
38,unemployed,single,secondary,no,0,no,no,cellular,27,aug,44,3,-1,0,unknown,no
30,management,single,tertiary,no,19358,no,no,cellular,19,nov,258,2,-1,0,unknown,no
33,housemaid,married,primary,no,167,no,no,cellular,21,aug,141,2,-1,0,unknown,no
31,entrepreneur,single,secondary,no,159,yes,no,unknown,23,may,533,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,1664,yes,no,cellular,20,apr,158,1,182,1,success,no
46,blue-collar,married,secondary,no,5,no,no,cellular,18,aug,71,3,-1,0,unknown,no
46,admin,divorced,primary,no,509,no,no,cellular,17,jul,272,1,-1,0,unknown,no
40,management,married,tertiary,no,2840,yes,no,cellular,8,jul,1720,4,-1,0,unknown,no
42,blue-collar,married,secondary,no,413,yes,no,cellular,11,aug,589,2,-1,0,unknown,yes
47,admin,married,secondary,no,1156,no,yes,unknown,3,jul,74,5,-1,0,unknown,no
40,blue-collar,married,secondary,no,6767,yes,no,cellular,20,nov,97,2,-1,0,unknown,no
38,technician,married,secondary,no,0,yes,no,cellular,22,jul,1545,1,-1,0,unknown,yes
46,admin,married,secondary,no,368,no,no,cellular,20,aug,293,1,90,4,other,yes
36,blue-collar,married,primary,no,599,yes,no,unknown,21,may,649,2,-1,0,unknown,yes
37,management,married,tertiary,no,355,no,no,cellular,4,aug,340,1,-1,0,unknown,no
52,technician,married,secondary,no,192,yes,no,cellular,23,jul,61,2,-1,0,unknown,no
32,blue-collar,married,secondary,no,920,yes,no,unknown,21,may,135,2,-1,0,unknown,no
41,management,married,tertiary,no,1468,yes,no,cellular,31,mar,237,3,-1,0,unknown,yes
